DATE,GOLDPMGBD228NLBM
2016-11-09,1281.400
2016-11-10,1267.500
2016-11-11,1236.450
2016-11-14,1213.600
2016-11-15,1226.950
2016-11-16,1229.200
2016-11-17,1226.750
2016-11-18,1211.000
2016-11-21,1214.250
2016-11-22,1212.250
2016-11-23,1185.350
2016-11-24,1186.100
2016-11-25,1187.700
2016-11-28,1187.000
2016-11-29,1186.550
2016-11-30,1178.100
2016-12-01,1161.850
2016-12-02,1173.500
2016-12-05,1162.200
2016-12-06,1172.500
2016-12-07,1177.650
2016-12-08,1171.050
2016-12-09,1163.600
2016-12-12,1156.100
2016-12-13,1158.550
2016-12-14,1162.250
2016-12-15,1126.950
2016-12-16,1131.600
2016-12-19,1136.250
2016-12-20,1125.700
2016-12-21,1133.650
2016-12-22,1131.350
2016-12-23,.
2016-12-26,.
2016-12-27,.
2016-12-28,1134.600
2016-12-29,1145.900
2016-12-30,.
2017-01-02,.
2017-01-03,1151.000
2017-01-04,1164.250
2017-01-05,1176.700
2017-01-06,1175.850
2017-01-09,1178.500
2017-01-10,1189.500
2017-01-11,1178.55
2017-01-12,1205.05
2017-01-13,1190.35
2017-01-16,1203.0
2017-01-17,1216.05
2017-01-18,1214.75
2017-01-19,1196.05
2017-01-20,1200.55
2017-01-23,1212.85
2017-01-24,1216.8
2017-01-25,1195.0
2017-01-26,1189.7
2017-01-27,1184.85
2017-01-30,1192.8
2017-01-31,1212.8
2017-02-01,1203.65
2017-02-02,1221.95
2017-02-03,1215.2
2017-02-06,1226.75
2017-02-07,1231.0
2017-02-08,1242.1
2017-02-09,1236.8
2017-02-10,1228.3
2017-02-13,1222.25
2017-02-14,1230.75
2017-02-15,1224.4
2017-02-16,1240.55
2017-02-17,1241.95
2017-02-20,1237.3
2017-02-21,1233.2
2017-02-22,1236.65
2017-02-23,1247.9
2017-02-24,1253.65
2017-02-27,1257.2
2017-02-28,1255.6
2017-03-01,1240.4
2017-03-02,1238.1
2017-03-03,1226.5
2017-03-06,1230.95
2017-03-07,1216.65
2017-03-08,1209.2
2017-03-09,1206.55
2017-03-10,1202.650
2017-03-13,1204.2
2017-03-14,1204.6
2017-03-15,1198.8
2017-03-16,1229.35
2017-03-17,1229.6
2017-03-20,1232.4
2017-03-21,1241.6
2017-03-22,1249.05
2017-03-23,1247.5
2017-03-24,1247.5
2017-03-27,1257.55
2017-03-28,1257.25
2017-03-29,1251.1
2017-03-30,1248.8
2017-03-31,1244.85
2017-04-03,1247.25
2017-04-04,1257.65
2017-04-05,1245.80
2017-04-06,1252.5
2017-04-07,1266.45
2017-04-10,1250.05
2017-04-11,1252.9
2017-04-12,1274.3
2017-04-13,1284.15
2017-04-14,.
2017-04-17,.
2017-04-18,1278.95
2017-04-19,1279.050
2017-04-20,1282.100
2017-04-21,1281.850
2017-04-24,1269.400
2017-04-25,1267.800
2017-04-26,1261.850
2017-04-27,1262.800
2017-04-28,1266.450
2017-05-01,.
2017-05-02,1255.450
2017-05-03,1250.300
2017-05-04,1228.450
2017-05-05,1228.050
2017-05-08,1229.800
2017-05-09,1220.400
2017-05-10,1222.950
2017-05-11,1223.150
2017-05-12,1231.250
2017-05-15,1233.300
2017-05-16,1234.200
2017-05-17,1257.400
2017-05-18,1255.900
2017-05-19,1252.000
2017-05-22,1258.850
2017-05-23,1260.200
2017-05-24,1252.550
2017-05-25,1256.950
2017-05-26,1265.050
2017-05-29,.
2017-05-30,1262.700
2017-05-31,1266.200
2017-06-01,1264.850
2017-06-02,1274.950
2017-06-05,1279.950
2017-06-06,1293.500
2017-06-07,1291.000
2017-06-08,1273.100
2017-06-09,1266.550
2017-06-12,1266.40
2017-06-13,1262.00
2017-06-14,1275.50
2017-06-15,1254.55
2017-06-16,1255.40
2017-06-19,1248.15
2017-06-20,1242.20
2017-06-21,1242.50
2017-06-22,1250.80
2017-06-23,1255.70
2017-06-26,1245.25
2017-06-27,1249.55
2017-06-28,1248.00
2017-06-29,1243.50
2017-06-30,1242.25
2017-07-03,1229.25
2017-07-04,1223.75
2017-07-05,1220.30
2017-07-06,1224.90
2017-07-07,1215.65
2017-07-10,1211.90
2017-07-11,1211.05
2017-07-12,1218.80
2017-07-13,1218.90
2017-07-14,1230.30
2017-07-17,1234.10
2017-07-18,1240.75
2017-07-19,1242.15
2017-07-20,1238.70
2017-07-21,1248.55
